id;service_provider_name;entity_name;source_record_id;data_captured_elements
1;Bike;Forward Ethiopian Birr;Crescent;bypassing Nicaragua Gloves
2;Auto Loan Account;Frozen indexing Intranet;Direct Small;Trail invoice Libyan Dinar
3;e-commerce;COM Awesome;New York;black copying Assurance
4;AGP mindshare syndicate;Clothing Gloves harness;relationships China;Small Checking Account
5;Flat;JSON;Sports methodologies;Metal Cambridgeshire Liaison
6;Terrace Industrial Borders;Home Loan Account Handmade Wooden Chicken Small Granite Bike;Meadows;calculating
7;Awesome Rubber Bike Unbranded Fresh Cheese;Orchestrator Gabon invoice;collaboration;applications Borders
8;seamless Designer Representative;North Carolina;Planner payment;morph Soap bandwidth-monitored
9;Cambridgeshire Exclusive zero defect;XSS Cambridgeshire dedicated;Coordinator full-range;Senior
10;Bahamas Courts;function;Wooden generating pink;Legacy Electronics interface
