id;practitioner_type;specialty;registration_number;employment_mode;qualification;status;person_id_ref
1;input;GB;Functionality customer loyalty;RSS Tools Representative;gold;enable Generic Frozen Shoes;30398
2;facilitate;Cambridgeshire GB Ergonomic Granite Shirt;eco-centric hack;Accounts impactful;Marketing empower reinvent;Buckinghamshire Fords Security;5025
3;Sleek Wooden Computer;turquoise;Colorado Unbranded hardware;azure firmware Handmade Concrete Pizza;Chair Handcrafted Rubber Soap background;New Hampshire;97131
4;Savings Account encompassing;Sleek Cotton Chair Chief Sleek;proactive Oregon protocol;Chad Cotton;back-end cyan;encryption;23476
5;Future-proofed Cuban Peso Peso Convertible;analyzing Books Rustic;Profit-focused auxiliary Gorgeous Wooden Tuna;Grocery Armenian Dram responsive;e-business;Massachusetts Gateway;57303
6;best-of-breed engage;Intelligent;Avon utilize;Fantastic Wooden Shoes;SDD violet;deposit;69253
7;calculate Licensed Cotton Towels;Ergonomic Berkshire;brand Direct;withdrawal Networked utilize;withdrawal Canada green;Soft;36937
8;hardware GB;Azerbaijanian Manat;Forward New Leu seamless;reciprocal Sri Lanka Rupee holistic;Buckinghamshire Fantastic;Director methodologies;57190
9;Pike;Operations SMS;Division;Quality Towels;responsive;Tenge;19710
10;Borders incremental Home;Canadian Dollar distributed;Practical Steel Shoes;visualize European Monetary Unit (E.M.U.-6) Alabama;invoice;Rustic Investor ivory;23274
